00AR               20241127                                                                                   
0601ARA0N       20250101000000100000115000 0000000050000043   
0601ARA0N       20250101000115100000005000 0000000050000043   
0601ARA0N       20250101000120100000005000 0000000050000041   
0601ARA0N       20250101000125100000005000 0000000050000039   
0601ARA0N       20250101000130100000005000 0000000050000038   
0601ARA0N       20250101000135100000005000 0000000050000036   
0601ARA0N       20250101000140100000005000 0000000050000035   
0601ARA0N       20250101000145100000005000 0000000050000034   
0601ARA0N       20250101000150100000005000 0000000050000033   
0601ARA0N       20250101000155100000005000 0000000050000032   
0601ARA0N       20250101000160100000005000 0000000050000040   
0601ARA0N       20250101000165100000005000 0000000050000057   
0601ARA0N       20250101000170100000005000 0000000050000073   
0601ARA0N       20250101000175100000005000 0000000050000089   
0601ARA0N       20250101000180100000005000 0000000050000112   
0601ARA0N       20250101000185100000005000 0000000050000133   
0601ARA0N       20250101000190100000005000 0000000050000154   
0601ARA0N       20250101000195100000005000 0000000050000173   
0601ARA0N       20250101000200100000005000 0000000050000191   
0601ARA0N       20250101000205100000005000 0000000050000209   
0601ARA0N       20250101000210100000005000 0000000050000226   
0601ARA0N       20250101000215100000005000 0000000050000242   
0601ARA0N       20250101000220100000005000 0000000050000260   
0601ARA0N       20250101000225100000005000 0000000050000278   
0601ARA0N       20250101000230100000005000 0000000050000296   
0601ARA0N       20250101000235100000005000 0000000050000313   
0601ARA0N       20250101000240100000005000 0000000050000329   
0601ARA0N       20250101000245100000005000 0000000050000354   
0601ARA0N       20250101000250100000005000 0000000050000370   
0601ARA0N       20250101000255100000005000 0000000050000386   
0601ARA0N       20250101000260100000005000 0000000050000401   
0601ARA0N       20250101000265100000005000 0000000050000415   
0601ARA0N       20250101000270100000005000 0000000050000429   
0601ARA0N       20250101000275100000005000 0000000050000442   
0601ARA0N       20250101000280100000005000 0000000050000455   
0601ARA0N       20250101000285100000005000 0000000050000468   
0601ARA0N       20250101000290100000005000 0000000050000480   
0601ARA0N       20250101000295100000005000 0000000050000491   
0601ARA0N       20250101000300100000005000 0000000050000502   
0601ARA0N       20250101000305100000005000 0000000050000513   
0601ARA0N       20250101000310100000005000 0000000050000524   
0601ARA0N       20250101000315100000005000 0000000050000534   
0601ARA0N       20250101000320100000005000 0000000050000544   
0601ARA0N       20250101000325100000005000 0000000050000553   
0601ARA0N       20250101000330100000005000 0000000050000563   
0601ARA0N       20250101000335100000005000 0000000050000574   
0601ARA0N       20250101000340100000005000 0000000050000586   
0601ARA0N       20250101000345100000005000 0000000050000598   
0601ARA0N       20250101000350100000005000 0000000050000610   
0601ARA0N       20250101000355100000005000 0000000050000621   
0601ARA0N       20250101000360100000005000 0000000050000632   
0601ARA0N       20250101000365100000005000 0000000050000643   
0601ARA0N       20250101000370100000005000 0000000050000653   
0601ARA0N       20250101000375100000005000 0000000050000663   
0601ARA0N       20250101000380100000005000 0000000050000673   
0601ARA0N       20250101000385100000005000 0000000050000682   
0601ARA0N       20250101000390100000005000 0000000050000692   
0601ARA0N       20250101000395100000005000 0000000050000701   
0601ARA0N       20250101000400100000005000 0000000050000710   
0601ARA0N       20250101000405100000005000 0000000050000719   
0601ARA0N       20250101000410100000005000 0000000050000727   
0601ARA0N       20250101000415100000005000 0000000050000736   
0601ARA0N       20250101000420100000005000 0000000050000744   
0601ARA0N       20250101000425100000005000 0000000050000752   
0601ARA0N       20250101000430100000005000 0000000050000760   
0601ARA0N       20250101000435100000005000 0000000050000767   
0601ARA0N       20250101000440100000005000 0000000050000775   
0601ARA0N       20250101000445100000005000 0000000050000782   
0601ARA0N       20250101000450100000005000 0000000050000789   
0601ARA0N       20250101000455100000005000 0000000050000796   
0601ARA0N       20250101000460100000005000 0000000050000803   
0601ARA0N       20250101000465100000005000 0000000050000809   
0601ARA0N       20250101000470100000005000 0000000050000819   
0601ARA0N       20250101000475100000005000 0000000050000825   
0601ARA0N       20250101000480100000005000 0000000050000832   
0601ARA0N       20250101000485100000005000 0000000050000839   
0601ARA0N       20250101000490100000005000 0000000050000847   
0601ARA0N       20250101000495100000005000 0000000050000855   
0601ARA0N       20250101000500100000005000 0000000050000863   
0601ARA0N       20250101000505100000005000 0000000050000871   
0601ARA0N       20250101000510100000005000 0000000050000880   
0601ARA0N       20250101000515100000005000 0000000050000887   
0601ARA0N       20250101000520100000005000 0000000050000895   
0601ARA0N       20250101000525100000005000 0000000050000903   
0601ARA0N       20250101000530100000005000 0000000050000911   
0601ARA0N       20250101000535100000005000 0000000050000918   
0601ARA0N       20250101000540100000005000 0000000050000925   
0601ARA0N       20250101000545100000005000 0000000050000932   
0601ARA0N       20250101000550100000005000 0000000050000939   
0601ARA0N       20250101000555100000005000 0000000050000946   
0601ARA0N       20250101000560100000005000 0000000050000953   
0601ARA0N       20250101000565100000005000 0000000050000959   
0601ARA0N       20250101000570100000005000 0000000050000966   
0601ARA0N       20250101000575100000005000 0000000050000972   
0601ARA0N       20250101000580100000005000 0000000050000978   
0601ARA0N       20250101000585100000005000 0000000050000984   
0601ARA0N       20250101000590100000005000 0000000050000990   
0601ARA0N       20250101000595100000005000 0000000050000996   
0601ARA0N       20250101000600100000005000 0000000050001002   
0601ARA0N       20250101000605100000005000 0000000050001008   
0601ARA0N       20250101000610100000005000 0000000050001015   
0601ARA0N       20250101000615100000005000 0000000050001021   
0601ARA0N       20250101000620100000005000 0000000050001028   
0601ARA0N       20250101000625100000005000 0000000050001034   
0601ARA0N       20250101000630100000005000 0000000050001040   
0601ARA0N       20250101000635100000005000 0000000050001046   
0601ARA0N       20250101000640100000005000 0000000050001053   
0601ARA0N       20250101000645100000005000 0000000050001059   
0601ARA0N       20250101000650100000005000 0000000050001065   
0601ARA0N       20250101000655100000005000 0000000050001071   
0601ARA0N       20250101000660100000005000 0000000050001076   
0601ARA0N       20250101000665100000005000 0000000050001082   
0601ARA0N       20250101000670100000005000 0000000050001088   
0601ARA0N       20250101000675100000005000 0000000050001093   
0601ARA0N       20250101000680100000005000 0000000050001099   
0601ARA0N       20250101000685100000005000 0000000050001104   
0601ARA0N       20250101000690100000005000 0000000050001110   
0601ARA0N       20250101000695100000005000 0000000050001115   
0601ARA0N       20250101000700100000005000 0000000050001120   
0601ARA0N       20250101000705100000005000 0000000050001125   
0601ARA0N       20250101000710100000005000 0000000050001130   
0601ARA0N       20250101000715100000005000 0000000050001135   
0601ARA0N       20250101000720100000005000 0000000050001140   
0601ARA0N       20250101000725100000005000 0000000050001145   
0601ARA0N       20250101000730100000005000 0000000050001150   
0601ARA0N       20250101000735100000005000 0000000050001155   
0601ARA0N       20250101000740100000005000 0000000050001159   
0601ARA0N       20250101000745100000005000 0000000050001164   
0601ARA0N       20250101000750100000005000 0000000050001168   
0601ARA0N       20250101000755100000005000 0000000050001175   
0601ARA0N       20250101000760100000005000 0000000050001179   
0601ARA0N       20250101000765100000005000 0000000050001184   
0601ARA0N       20250101000770100000005000 0000000050001188   
0601ARA0N       20250101000775100000005000 0000000050001192   
0601ARA0N       20250101000780100000005000 0000000050001199   
0601ARA0N       20250101000785100000005000 0000000050001203   
0601ARA0N       20250101000790100000005000 0000000050001207   
0601ARA0N       20250101000795100000005000 0000000050001211   
0601ARA0N       20250101000800100000005000 0000000050001215   
0601ARA0N       20250101000805100000005000 0000000050001221   
0601ARA0N       20250101000810100000005000 0000000050001225   
0601ARA0N       20250101000815100000005000 0000000050001230   
0601ARA0N       20250101000820100000005000 0000000050001235   
0601ARA0N       20250101000825100000005000 0000000050001241   
0601ARA0N       20250101000830100000005000 0000000050001248   
0601ARA0N       20250101000835100000005000 0000000050001254   
0601ARA0N       20250101000840100000005000 0000000050001259   
0601ARA0N       20250101000845100000005000 0000000050001264   
0601ARA0N       20250101000850100000005000 0000000050001270   
0601ARA0N       20250101000855100000005000 0000000050001277   
0601ARA0N       20250101000860100000005000 0000000050001282   
0601ARA0N       20250101000865100000005000 0000000050001287   
0601ARA0N       20250101000870100000005000 0000000050001292   
0601ARA0N       20250101000875100000005000 0000000050001297   
0601ARA0N       20250101000880100000005000 0000000050001304   
0601ARA0N       20250101000885100000005000 0000000050001309   
0601ARA0N       20250101000890100000005000 0000000050001313   
0601ARA0N       20250101000895100000005000 0000000050001318   
0601ARA0N       20250101000900100000005000 0000000050001323   
0601ARA0N       20250101000905100000005000 0000000050001329   
0601ARA0N       20250101000910100000005000 0000000050001333   
0601ARA0N       20250101000915100000005000 0000000050001338   
0601ARA0N       20250101000920100000005000 0000000050001342   
0601ARA0N       20250101000925100000005000 0000000050001346   
0601ARA0N       20250101000930100000005000 0000000050001352   
0601ARA0N       20250101000935100000005000 0000000050001356   
0601ARA0N       20250101000940100000005000 0000000050001361   
0601ARA0N       20250101000945100000005000 0000000050001365   
0601ARA0N       20250101000950100000005000 0000000050001370   
0601ARA0N       20250101000955100000005000 0000000050001376   
0601ARA0N       20250101000960100000005000 0000000050001380   
0601ARA0N       20250101000965100000005000 0000000050001384   
0601ARA0N       20250101000970100000005000 0000000050001388   
0601ARA0N       20250101000975100000005000 0000000050001392   
0601ARA0N       20250101000980100000005000 0000000050001398   
0601ARA0N       20250101000985100000005000 0000000050001402   
0601ARA0N       20250101000990100000005000 0000000050001406   
0601ARA0N       20250101000995100000005000 0000000050001410   
0601ARA0N       20250101001000100000005000 0000000050001414   
0601ARA0N       20250101001005100000005000 0000000050001418   
0601ARA0N       20250101001010100000005000 0000000050001424   
0601ARA0N       20250101001015100000005000 0000000050001427   
0601ARA0N       20250101001020100000005000 0000000050001431   
0601ARA0N       20250101001025100000005000 0000000050001435   
0601ARA0N       20250101001030100000005000 0000000050001439   
0601ARA0N       20250101001035100000005000 0000000050001444   
0601ARA0N       20250101001040100000005000 0000000050001448   
0601ARA0N       20250101001045100000005000 0000000050001451   
0601ARA0N       20250101001050100000005000 0000000050001455   
0601ARA0N       20250101001055100000005000 0000000050001458   
0601ARA0N       20250101001060100000005000 0000000050001463   
0601ARA0N       20250101001065100000005000 0000000050001467   
0601ARA0N       20250101001070100000005000 0000000050001470   
0601ARA0N       20250101001075100000005000 0000000050001474   
0601ARA0N       20250101001080100000005000 0000000050001477   
0601ARA0N       20250101001085100000005000 0000000050001482   
0601ARA0N       20250101001090100000005000 0000000050001485   
0601ARA0N       20250101001095100000005000 0000000050001489   
0601ARA0N       20250101001100100000005000 0000000050001492   
0601ARA0N       20250101001105100000005000 0000000050001495   
