00AR               20181129                                                                                   
0601ARA0N       20190101000720100000005000 0000008670001200   
0601ARA0N       20190101000725100000005000 0000008760001204   
0601ARA0N       20190101000730100000005000 0000008850001209   
0601ARA0N       20190101000735100000005000 0000008950001213   
0601ARA0N       20190101000740100000005000 0000009040001218   
0601ARA0N       20190101000745100000005000 0000009150001224   
0601ARA0N       20190101000750100000005000 0000009250001229   
0601ARA0N       20190101000755100000005000 0000009340001233   
0601ARA0N       20190101000760100000005000 0000009430001237   
0601ARA0N       20190101000765100000005000 0000009550001244   
0601ARA0N       20190101000770100000005000 0000009640001248   
0601ARA0N       20190101000775100000005000 0000009740001253   
0601ARA0N       20190101000780100000005000 0000009850001259   
0601ARA0N       20190101000785100000005000 0000009960001265   
0601ARA0N       20190101000790100000005000 0000010090001273   
0601ARA0N       20190101000795100000005000 0000010190001278   
0601ARA0N       20190101000800100000005000 0000010300001284   
0601ARA0N       20190101000805100000005000 0000010410001289   
0601ARA0N       20190101000810100000005000 0000010540001297   
0601ARA0N       20190101000815100000005000 0000010650001302   
0601ARA0N       20190101000820100000005000 0000010750001307   
0601ARA0N       20190101000825100000005000 0000010860001313   
0601ARA0N       20190101000830100000005000 0000010970001318   
0601ARA0N       20190101000835100000005000 0000011100001325   
0601ARA0N       20190101000840100000005000 0000011210001331   
0601ARA0N       20190101000845100000005000 0000011320001336   
0601ARA0N       20190101000850100000005000 0000011430001341   
0601ARA0N       20190101000855100000005000 0000011540001346   
0601ARA0N       20190101000860100000005000 0000011670001353   
0601ARA0N       20190101000865100000005000 0000011780001358   
0601ARA0N       20190101000870100000005000 0000011890001363   
0601ARA0N       20190101000875100000005000 0000012000001367   
0601ARA0N       20190101000880100000005000 0000012130001374   
0601ARA0N       20190101000885100000005000 0000012240001379   
0601ARA0N       20190101000890100000005000 0000012340001383   
0601ARA0N       20190101000895100000005000 0000012450001388   
0601ARA0N       20190101000900100000005000 0000012560001392   
0601ARA0N       20190101000905100000005000 0000012690001399   
0601ARA0N       20190101000910100000005000 0000012800001403   
0601ARA0N       20190101000915100000005000 0000012910001407   
0601ARA0N       20190101000920100000005000 0000013020001412   
0601ARA0N       20190101000925100000005000 0000013150001418   
0601ARA0N       20190101000930100000005000 0000013260001422   
0601ARA0N       20190101000935100000005000 0000013370001427   
0601ARA0N       20190101000940100000005000 0000013480001431   
0601ARA0N       20190101000945100000005000 0000013600001435   
0601ARA0N       20190101000950100000005000 0000013720001441   
0601ARA0N       20190101000955100000005000 0000013830001445   
0601ARA0N       20190101000960100000005000 0000013950001449   
0601ARA0N       20190101000965100000005000 0000014060001453   
0601ARA0N       20190101000970100000005000 0000014170001457   
0601ARA0N       20190101000975100000005000 0000014290001462   
0601ARA0N       20190101000980100000005000 0000014410001466   
0601ARA0N       20190101000985100000005000 0000014520001470   
0601ARA0N       20190101000990100000005000 0000014630001474   
0601ARA0N       20190101000995100000005000 0000014750001479   
0601ARA0N       20190101001000100000005000 0000014870001483   
0601ARA0N       20190101001005100000005000 0000014980001487   
0601ARA0N       20190101001010100000005000 0000015090001490   
0601ARA0N       20190101001015100000005000 0000015200001494   
0601ARA0N       20190101001020100000005000 0000015330001499   
0601ARA0N       20190101001025100000005000 0000015440001503   
0601ARA0N       20190101001030100000005000 0000015550001506   
0601ARA0N       20190101001035100000005000 0000015660001510   
0601ARA0N       20190101001040100000005000 0000015790001515   
0601ARA0N       20190101001045100000005000 0000015900001518   
0601ARA0N       20190101001050100000005000 0000016010001521   
0601ARA0N       20190101001055100000005000 0000016120001525   
0601ARA0N       20190101001060100000005000 0000016240001528   
0601ARA0N       20190101001065100000005000 0000016360001533   
0601ARA0N       20190101001070100000005000 0000016470001536   
0601ARA0N       20190101001075100000005000 0000016590001540   
0601ARA0N       20190101001080100000005000 0000016700001543   
0601ARA0N       20190101001085100000005000 0000016840001548   
0601ARA0N       20190101001090100000005000 0000016960001552   
0601ARA0N       20190101001095100000005000 0000017080001556   
0601ARA0N       20190101001100100000005000 0000017200001560   
0601ARA0N       20190101001105100000005000 0000017320001564   
0601ARA0N       20190101001110100000005000 0000017460001569   
0601ARA0N       20190101001115100000005000 0000017580001573   
0601ARA0N       20190101001120100000005000 0000017700001577   
0601ARA0N       20190101001125100000005000 0000017830001581   
0601ARA0N       20190101001130100000005000 0000017950001585   
0601ARA0N       20190101001135100000005000 0000018090001590   
0601ARA0N       20190101001140100000005000 0000018210001594   
0601ARA0N       20190101001145100000005000 0000018330001598   
0601ARA0N       20190101001150100000005000 0000018450001601   
0601ARA0N       20190101001155100000005000 0000018600001607   
0601ARA0N       20190101001160100000005000 0000018720001610   
0601ARA0N       20190101001165100000005000 0000018840001613   
0601ARA0N       20190101001170100000005000 0000018960001617   
0601ARA0N       20190101001175100000005000 0000019080001621   
0601ARA0N       20190101001180100000005000 0000019220001625   
0601ARA0N       20190101001185100000005000 0000019350001629   
0601ARA0N       20190101001190100000005000 0000019470001633   
0601ARA0N       20190101001195100000005000 0000019590001636   
0601ARA0N       20190101001200100000005000 0000019730001641   
0601ARA0N       20190101001205100000005000 0000019850001644   
0601ARA0N       20190101001210100000005000 0000019970001647   
0601ARA0N       20190101001215100000005000 0000020100001651   
0601ARA0N       20190101001220100000005000 0000020220001654   
0601ARA0N       20190101001225100000005000 0000020360001658   
0601ARA0N       20190101001230100000005000 0000020490001662   
0601ARA0N       20190101001235100000005000 0000020610001665   
0601ARA0N       20190101001240100000005000 0000020730001669   
0601ARA0N       20190101001245100000005000 0000020880001674   
0601ARA0N       20190101001250100000005000 0000021000001677   
0601ARA0N       20190101001255100000005000 0000021130001680   
0601ARA0N       20190101001260100000005000 0000021270001685   
0601ARA0N       20190101001265100000005000 0000021400001688   
0601ARA0N       20190101001270100000005000 0000021520001691   
0601ARA0N       20190101001275100000005000 0000021670001696   
0601ARA0N       20190101001280100000005000 0000021790001699   
0601ARA0N       20190101001285100000005000 0000021910001702   
0601ARA0N       20190101001290100000005000 0000022060001707   
0601ARA0N       20190101001295100000005000 0000022180001710   
0601ARA0N       20190101001300100000005000 0000022310001713   
0601ARA0N       20190101001305100000005000 0000022460001717   
0601ARA0N       20190101001310100000005000 0000022580001720   
0601ARA0N       20190101001315100000005000 0000022700001723   
0601ARA0N       20190101001320100000005000 0000022850001728   
0601ARA0N       20190101001325100000005000 0000022970001731   
0601ARA0N       20190101001330100000005000 0000023100001733   
0601ARA0N       20190101001335100000005000 0000023240001738   
0601ARA0N       20190101001340100000005000 0000023370001740   
0601ARA0N       20190101001345100000005000 0000023490001743   
0601ARA0N       20190101001350100000005000 0000023640001748   
0601ARA0N       20190101001355100000005000 0000023760001750   
0601ARA0N       20190101001360100000005000 0000023880001753   
0601ARA0N       20190101001365100000005000 0000024030001757   
0601ARA0N       20190101001370100000005000 0000024150001760   
0601ARA0N       20190101001375100000005000 0000024280001763   
0601ARA0N       20190101001380100000005000 0000024440001768   
0601ARA0N       20190101001385100000005000 0000024570001771   
0601ARA0N       20190101001390100000005000 0000024700001774   
0601ARA0N       20190101001395100000005000 0000024860001779   
0601ARA0N       20190101001400100000005000 0000024990001782   
0601ARA0N       20190101001405100000005000 0000025130001785   
0601ARA0N       20190101001410100000005000 0000025290001790   
0601ARA0N       20190101001415100000005000 0000025420001793   
0601ARA0N       20190101001420100000005000 0000025550001796   
0601ARA0N       20190101001425100000005000 0000025710001801   
0601ARA0N       20190101001430100000005000 0000025840001804   
0601ARA0N       20190101001435100000005000 0000025970001807   
0601ARA0N       20190101001440100000005000 0000026130001812   
0601ARA0N       20190101001445100000005000 0000026260001814   
0601ARA0N       20190101001450100000005000 0000026400001817   
0601ARA0N       20190101001455100000005000 0000026560001822   
0601ARA0N       20190101001460100000005000 0000026690001825   
0601ARA0N       20190101001465100000005000 0000026820001828   
0601ARA0N       20190101001470100000005000 0000026980001832   
0601ARA0N       20190101001475100000005000 0000027110001835   
0601ARA0N       20190101001480100000005000 0000027240001838   
0601ARA0N       20190101001485100000005000 0000027400001842   
0601ARA0N       20190101001490100000005000 0000027530001845   
0601ARA0N       20190101001495100000005000 0000027670001847   
0601ARA0N       20190101001500100000005000 0000027820001852   
0601ARA0N       20190101001505100000005000 0000027960001854   
0601ARA0N       20190101001510100000005000 0000028090001857   
0601ARA0N       20190101001515100000005000 0000028250001861   
0601ARA0N       20190101001520100000005000 0000028380001864   
0601ARA0N       20190101001525100000005000 0000028510001867   
0601ARA0N       20190101001530100000005000 0000028670001871   
0601ARA0N       20190101001535100000005000 0000028800001873   
0601ARA0N       20190101001540100000005000 0000028940001876   
0601ARA0N       20190101001545100000005000 0000029090001880   
0601ARA0N       20190101001550100000005000 0000029230001883   
0601ARA0N       20190101001555100000005000 0000029360001885   
0601ARA0N       20190101001560100000005000 0000029510001888   
0601ARA0N       20190101001565100000005000 0000029650001891   
0601ARA0N       20190101001570100000005000 0000029780001894   
0601ARA0N       20190101001575100000005000 0000029930001897   
0601ARA0N       20190101001580100000005000 0000030070001900   
0601ARA0N       20190101001585100000005000 0000030200001903   
0601ARA0N       20190101001590100000005000 0000030350001906   
0601ARA0N       20190101001595100000005000 0000030500001909   
0601ARA0N       20190101001600100000005000 0000030630001911   
0601ARA0N       20190101001605100000005000 0000030780001915   
0601ARA0N       20190101001610100000005000 0000030920001917   
0601ARA0N       20190101001615100000005000 0000031050001920   
0601ARA0N       20190101001620100000005000 0000031200001923   
0601ARA0N       20190101001625100000005000 0000031340001926   
0601ARA0N       20190101001630100000005000 0000031470001928   
0601ARA0N       20190101001635100000005000 0000031620001931   
0601ARA0N       20190101001640100000005000 0000031760001934   
0601ARA0N       20190101001645100000005000 0000031900001936   
0601ARA0N       20190101001650100000005000 0000032050001939   
0601ARA0N       20190101001655100000005000 0000032190001942   
0601ARA0N       20190101001660100000005000 0000032320001944   
0601ARA0N       20190101001665100000005000 0000032470001947   
0601ARA0N       20190101001670100000005000 0000032610001950   
0601ARA0N       20190101001675100000005000 0000032740001952   
0601ARA0N       20190101001680100000005000 0000032890001955   
0601ARA0N       20190101001685100000005000 0000033030001958   
0601ARA0N       20190101001690100000005000 0000033170001960   
0601ARA0N       20190101001695100000005000 0000033320001963   
0601ARA0N       20190101001700100000005000 0000033460001965   
0601ARA0N       20190101001705100000005000 0000033590001967   
0601ARA0N       20190101001710100000005000 0000033740001970   
0601ARA0N       20190101001715100000005000 0000033880001973   
0601ARA0N       20190101001720100000005000 0000034010001975   
0601ARA0N       20190101001725100000005000 0000034160001978   
0601ARA0N       20190101001730100000005000 0000034300001980   
0601ARA0N       20190101001735100000005000 0000034440001982   
0601ARA0N       20190101001740100000005000 0000034590001985   
0601ARA0N       20190101001745100000005000 0000034730001987   
0601ARA0N       20190101001750100000005000 0000034860001989   
0601ARA0N       20190101001755100000005000 0000035010001992   
0601ARA0N       20190101001760100000005000 0000035150001994   
0601ARA0N       20190101001765100000005000 0000035290001997   
0601ARA0N       20190101001770100000005000 0000035450002000   
0601ARA0N       20190101001775100000005000 0000035600002003   
0601ARA0N       20190101001780100000005000 0000035740002005   
0601ARA0N       20190101001785100000005000 0000035900002008   
0601ARA0N       20190101001790100000005000 0000036050002011   
0601ARA0N       20190101001795100000005000 0000036190002014   
0601ARA0N       20190101001800100000005000 0000036350002017   
0601ARA0N       20190101001805100000005000 0000036510002020   
0601ARA0N       20190101001810100000005000 0000036650002022   
0601ARA0N       20190101001815100000005000 0000036810002025   
0601ARA0N       20190101001820100000005000 0000036960002028   
0601ARA0N       20190101001825100000005000 0000037100002030   
0601ARA0N       20190101001830100000005000 0000037260002033   
0601ARA0N       20190101001835100000005000 0000037410002036   
0601ARA0N       20190101001840100000005000 0000037550002038   
0601ARA0N       20190101001845100000005000 0000037710002041   
0601ARA0N       20190101001850100000005000 0000037860002044   
0601ARA0N       20190101001855100000005000 0000038000002046   
0601ARA0N       20190101001860100000005000 0000038160002049   
