00BS               20190214                                                                                   
0601BSA0N       20190101002600100000050000 0000000000002545   
0601BSA0N       20190101002650100000050000 0000000000002562   
0601BSA0N       20190101002700100000050000 0000000000002580   
0601BSA0N       20190101002750100000050000 0000000000002596   
0601BSA0N       20190101002800100000050000 0000000000002611   
0601BSA0N       20190101002850100000050000 0000000000002627   
0601BSA0N       20190101002900100000050000 0000000000002642   
0601BSA0N       20190101002950100000050000 0000000000002655   
0601BSA0N       20190101003000100000050000 0000000000002670   
0601BSA0N       20190101003050100000050000 0000000000002683   
0601BSA0N       20190101003100100000050000 0000000000002695   
0601BSA0N       20190101003150100000050000 0000000000002707   
0601BSA0N       20190101003200100000050000 0000000000002720   
0601BSA0N       20190101003250100000050000 0000000000002731   
0601BSA0N       20190101003300100000050000 0000000000002742   
0601BSA0N       20190101003350100000050000 0000000000002754   
0601BSA0N       20190101003400100000050000 0000000000002764   
0601BSA0N       20190101003450100000050000 0000000000002774   
0601BSA0N       20190101003500100000050000 0000000000002785   
0601BSA0N       20190101003550100000050000 0000000000002794   
0601BSA0N       20190101003600100000050000 0000000000002804   
0601BSA0N       20190101003650100000050000 0000000000002814   
0601BSA0N       20190101003700100000050000 0000000000002822   
0601BSA0N       20190101003750100000050000 0000000000002831   
0601BSA0N       20190101003800100000050000 0000000000002840   
0601BSA0N       20190101003850100000050000 0000000000002848   
0601BSA0N       20190101003900100000050000 0000000000002856   
0601BSA0N       20190101003950100000050000 0000000000002864   
0601BSA0N       20190101004000100000050000 0000000000002872   
0601BSA0N       20190101004050100000050000 0000000000002879   
0601BSA0N       20190101004100100000050000 0000000000002887   
0601BSA0N       20190101004150100000050000 0000000000002894   
0601BSA0N       20190101004200100000050000 0000000000002900   
0601BSA0N       20190101004250100000050000 0000000000002908   
0601BSA0N       20190101004300100000050000 0000000000002914   
0601BSA0N       20190101004350100000050000 0000000000002920   
0601BSA0N       20190101004400100000050000 0000000000002927   
0601BSA0N       20190101004450100000050000 0000000000002933   
0601BSA0N       20190101004500100000050000 0000000000002939   
0601BSA0N       20190101004550100000050000 0000000000002946   
0601BSA0N       20190101004600100000050000 0000000000002951   
0601BSA0N       20190101004650100000050000 0000000000002957   
0601BSA0N       20190101004700100000050000 0000000000002963   
0601BSA0N       20190101004750100000050000 0000000000002968   
0601BSA0N       20190101004800100000050000 0000000000002973   
0601BSA0N       20190101004850100000050000 0000000000002979   
0601BSA0N       20190101004900100000050000 0000000000002984   
0601BSA0N       20190101004950100000050000 0000000000002988   
0601BSA0N       20190101005000100000050000 0000000000002994   
0601BSA0N       20190101005050100000050000 0000000000002998   
0601BSA0N       20190101005100100000050000 0000000000003003   
0601BSA0N       20190101005150100000050000 0000000000003007   
0601BSA0N       20190101005200100000050000 0000000000003012   
0601BSA0N       20190101005250100000050000 0000000000003017   
0601BSA0N       20190101005300100000050000 0000000000003021   
0601BSA0N       20190101005350100000050000 0000000000003026   
0601BSA0N       20190101005400100000050000 0000000000003030   
0601BSA0N       20190101005450100000050000 0000000000003034   
0601BSA0N       20190101005500100000050000 0000000000003038   
0601BSA0N       20190101005550100000050000 0000000000003042   
0601BSA0N       20190101005600100000050000 0000000000003046   
0601BSA0N       20190101005650100000050000 0000000000003050   
0601BSA0N       20190101005700100000050000 0000000000003053   
0601BSA0N       20190101005750100000050000 0000000000003057   
0601BSA0N       20190101005800100000050000 0000000000003061   
0601BSA0N       20190101005850100000050000 0000000000003064   
0601BSA0N       20190101005900100000050000 0000000000003068   
0601BSA0N       20190101005950100000050000 0000000000003072   
0601BSA0N       20190101006000100000050000 0000000000003075   
0601BSA0N       20190101006050100000050000 0000000000003078   
0601BSA0N       20190101006100100000050000 0000000000003082   
0601BSA0N       20190101006150100000050000 0000000000003085   
0601BSA0N       20190101006200100000050000 0000000000003088   
0601BSA0N       20190101006250100000050000 0000000000003091   
0601BSA0N       20190101006300100000050000 0000000000003094   
0601BSA0N       20190101006350100000050000 0000000000003097   
0601BSA0N       20190101006400100000050000 0000000000003101   
0601BSA0N       20190101006450100000050000 0000000000003103   
0601BSA0N       20190101006500100000050000 0000000000003106   
0601BSA0N       20190101006550100000050000 0000000000003109   
0601BSA0N       20190101006600100000050000 0000000000003112   
0601BSA0N       20190101006650100000050000 0000000000003115   
0601BSA0N       20190101006700100000050000 0000000000003118   
0601BSA0N       20190101006750100000050000 0000000000003120   
0601BSA0N       20190101006800100000050000 0000000000003123   
0601BSA0N       20190101006850100000050000 0000000000003126   
0601BSA0N       20190101006900100000050000 0000000000003128   
0601BSA0N       20190101006950100000050000 0000000000003130   
0601BSA0N       20190101007000100000050000 0000000000003133   
0601BSA0N       20190101007050100000050000 0000000000003136   
0601BSA0N       20190101007100100000050000 0000000000003138   
0601BSA0N       20190101007150100000050000 0000000000003140   
0601BSA0N       20190101007200100000050000 0000000000003142   
0601BSA0N       20190101007250100000050000 0000000000003143   
0601BSA0N       20190101007300100000050000 0000000000003145   
0601BSA0N       20190101007350100000050000 0000000000003146   
0601BSA0N       20190101007400100000050000 0000000000003147   
0601BSA0N       20190101007450100000050000 0000000000003148   
0601BSA0N       20190101007500100000050000 0000000000003150   
0601BSA0N       20190101007550100000050000 0000000000003151   
0601BSA0N       20190101007600100000050000 0000000000003152   
0601BSA0N       20190101007650100000050000 0000000000003154   
0601BSA0N       20190101007700100000050000 0000000000003155   
