00AG               20181002                                                                                   
0601AGA0N       20190101000630100000005000 0000006070000960   
0601AGA0N       20190101000635100000005000 0000006120000960   
0601AGA0N       20190101000640100000005000 0000006230000970   
0601AGA0N       20190101000645100000005000 0000006340000980   
0601AGA0N       20190101000650100000005000 0000006390000980   
0601AGA0N       20190101000655100000005000 0000006500000990   
0601AGA0N       20190101000660100000005000 0000006620001000   
0601AGA0N       20190101000665100000005000 0000006670001000   
0601AGA0N       20190101000670100000005000 0000006790001010   
0601AGA0N       20190101000675100000005000 0000006910001020   
0601AGA0N       20190101000680100000005000 0000007020001030   
0601AGA0N       20190101000685100000005000 0000007080001030   
0601AGA0N       20190101000690100000005000 0000007200001040   
0601AGA0N       20190101000695100000005000 0000007320001050   
0601AGA0N       20190101000700100000005000 0000007370001050   
0601AGA0N       20190101000705100000005000 0000007490001060   
0601AGA0N       20190101000710100000005000 0000007550001060   
0601AGA0N       20190101000715100000005000 0000007670001070   
0601AGA0N       20190101000720100000005000 0000007800001080   
0601AGA0N       20190101000725100000005000 0000007850001080   
0601AGA0N       20190101000730100000005000 0000007980001090   
0601AGA0N       20190101000735100000005000 0000008030001090   
0601AGA0N       20190101000740100000005000 0000008160001100   
0601AGA0N       20190101000745100000005000 0000008290001110   
0601AGA0N       20190101000750100000005000 0000008350001110   
0601AGA0N       20190101000755100000005000 0000008480001120   
0601AGA0N       20190101000760100000005000 0000008540001120   
0601AGA0N       20190101000765100000005000 0000008670001130   
0601AGA0N       20190101000770100000005000 0000008720001130   
0601AGA0N       20190101000775100000005000 0000008860001140   
0601AGA0N       20190101000780100000005000 0000008990001150   
0601AGA0N       20190101000785100000005000 0000009050001150   
0601AGA0N       20190101000790100000005000 0000009190001160   
0601AGA0N       20190101000795100000005000 0000009330001170   
0601AGA0N       20190101000800100000005000 0000009460001180   
0601AGA0N       20190101000805100000005000 0000009520001180   
0601AGA0N       20190101000810100000005000 0000009660001190   
0601AGA0N       20190101000815100000005000 0000009810001200   
0601AGA0N       20190101000820100000005000 0000009870001200   
0601AGA0N       20190101000825100000005000 0000010010001210   
0601AGA0N       20190101000830100000005000 0000010150001220   
0601AGA0N       20190101000835100000005000 0000010210001220   
0601AGA0N       20190101000840100000005000 0000010360001230   
0601AGA0N       20190101000845100000005000 0000010500001240   
0601AGA0N       20190101000850100000005000 0000010570001240   
0601AGA0N       20190101000855100000005000 0000010710001250   
0601AGA0N       20190101000860100000005000 0000010860001260   
0601AGA0N       20190101000865100000005000 0000010930001260   
0601AGA0N       20190101000870100000005000 0000011080001270   
0601AGA0N       20190101000875100000005000 0000011230001280   
0601AGA0N       20190101000880100000005000 0000011290001280   
0601AGA0N       20190101000885100000005000 0000011440001290   
0601AGA0N       20190101000890100000005000 0000011510001290   
0601AGA0N       20190101000895100000005000 0000011660001300   
0601AGA0N       20190101000900100000005000 0000011730001300   
0601AGA0N       20190101000905100000005000 0000011880001310   
0601AGA0N       20190101000910100000005000 0000012040001320   
0601AGA0N       20190101000915100000005000 0000012110001320   
0601AGA0N       20190101000920100000005000 0000012260001330   
0601AGA0N       20190101000925100000005000 0000012330001330   
0601AGA0N       20190101000930100000005000 0000012490001340   
0601AGA0N       20190101000935100000005000 0000012560001340   
0601AGA0N       20190101000940100000005000 0000012720001350   
0601AGA0N       20190101000945100000005000 0000012790001350   
0601AGA0N       20190101000950100000005000 0000012950001360   
0601AGA0N       20190101000955100000005000 0000013110001370   
0601AGA0N       20190101000960100000005000 0000013180001370   
0601AGA0N       20190101000965100000005000 0000013350001380   
0601AGA0N       20190101000970100000005000 0000013420001380   
0601AGA0N       20190101000975100000005000 0000013580001390   
0601AGA0N       20190101000980100000005000 0000013650001390   
0601AGA0N       20190101000985100000005000 0000013820001400   
0601AGA0N       20190101000990100000005000 0000013890001400   
0601AGA0N       20190101000995100000005000 0000014060001410   
0601AGA0N       20190101001000100000050000 0000000000001430   
0601AGA0N       20190101001050100000050000 0000000000001470   
0601AGA0N       20190101001100100000050000 0000000000001520   
0601AGA0N       20190101001150100000050000 0000000000001570   
0601AGA0N       20190101001200100000050000 0000000000001620   
0601AGA0N       20190101001250100000050000 0000000000001660   
0601AGA0N       20190101001300100000050000 0000000000001700   
0601AGA0N       20190101001350100000050000 0000000000001740   
0601AGA0N       20190101001400100000050000 0000000000001780   
0601AGA0N       20190101001450100000050000 0000000000001810   
0601AGA0N       20190101001500100000050000 0000000000001850   
0601AGA0N       20190101001550100000050000 0000000000001880   
0601AGA0N       20190101001600100000050000 0000000000001920   
0601AGA0N       20190101001650100000050000 0000000000001950   
0601AGA0N       20190101001700100000050000 0000000000001980   
0601AGA0N       20190101001750100000050000 0000000000002000   
0601AGA0N       20190101001800100000050000 0000000000002040   
0601AGA0N       20190101001850100000050000 0000000000002070   
0601AGA0N       20190101001900100000050000 0000000000002100   
0601AGA0N       20190101001950100000050000 0000000000002130   
0601AGA0N       20190101002000100000050000 0000000000002150   
0601AGA0N       20190101002050100000050000 0000000000002180   
0601AGA0N       20190101002100100000050000 0000000000002200   
0601AGA0N       20190101002150100000050000 0000000000002220   
0601AGA0N       20190101002200100000050000 0000000000002240   
0601AGA0N       20190101002250100000050000 0000000000002270   
0601AGA0N       20190101002300100000050000 0000000000002290   
0601AGA0N       20190101002350100000050000 0000000000002300   
0601AGA0N       20190101002400100000050000 0000000000002320   
0601AGA0N       20190101002450100000050000 0000000000002340   
0601AGA0N       20190101002500100000050000 0000000000002360   
0601AGA0N       20190101002550100000050000 0000000000002370   
0601AGA0N       20190101002600100000050000 0000000000002390   
0601AGA0N       20190101002650100000050000 0000000000002400   
0601AGA0N       20190101002700100000050000 0000000000002420   
0601AGA0N       20190101002750100000050000 0000000000002430   
0601AGA0N       20190101002800100000050000 0000000000002450   
0601AGA0N       20190101002850100000050000 0000000000002460   
0601AGA0N       20190101002900100000050000 0000000000002470   
0601AGA0N       20190101002950100000050000 0000000000002480   
0601AGA0N       20190101003000100000500000 0000000000002540   
0601AGA0N       20190101003500100000500000 0000000000002640   
0601AGA0N       20190101004000100000500000 0000000000002720   
0601AGA0N       20190101004500100000500000 0000000000002780   
0601AGA0N       20190101005000100000500000 0000000000002830   
0601AGA0N       20190101005500100000500000 0000000000002870   
0601AGA0N       20190101006000100000500000 0000000000002900   
0601AGA0N       20190101006500100000500000 0000000000002930   
0601AGA0N       20190101007000100000500000 0000000000002950   
0601AGA0N       20190101007500100000500000 0000000000002960   
0601AGA0N       20190101008000100000500000 0000000000002970   
0601AGA0N       20190101008500100000500000 0000000000002980   
0601AGA0N       20190101009000100000500000 0000000000002990   
0601AGA0N       20190101009500100000500000 0000000000003000   
0601AGA1N       20190101000000100000025000 0100000020000000   
0601AGA1N       20190101000025100000005000 0100000020000000   
0601AGA1N       20190101000030100000005000 0100000020000000   
0601AGA1N       20190101000035100000005000 0100000020000000   
0601AGA1N       20190101000040100000005000 0100000020000000   
0601AGA1N       20190101000045100000005000 0100000020000000   
0601AGA1N       20190101000050100000005000 0100000020000000   
0601AGA1N       20190101000055100000005000 0100000020000000   
0601AGA1N       20190101000060100000005000 0100000020000000   
0601AGA1N       20190101000065100000005000 0100000020000000   
0601AGA1N       20190101000070100000005000 0100000020000000   
0601AGA1N       20190101000075100000005000 0100000020000000   
0601AGA1N       20190101000080100000005000 0100000020000000   
0601AGA1N       20190101000085100000005000 0100000020000000   
0601AGA1N       20190101000090100000005000 0100000020000000   
0601AGA1N       20190101000095100000005000 0100000020000000   
0601AGA1N       20190101000100100000005000 0100000020000000   
0601AGA1N       20190101000105100000005000 0100000020000000   
0601AGA1N       20190101000110100000005000 0100000020000000   
0601AGA1N       20190101000115100000005000 0100000020000000   
0601AGA1N       20190101000120100000005000 0100000020000000   
0601AGA1N       20190101000125100000005000 0100000020000000   
0601AGA1N       20190101000130100000005000 0100000020000000   
0601AGA1N       20190101000135100000005000 0100000020000000   
0601AGA1N       20190101000140100000005000 0100000020000000   
0601AGA1N       20190101000145100000005000 0100000020000000   
0601AGA1N       20190101000150100000005000 0100000020000000   
0601AGA1N       20190101000155100000005000 0100000020000000   
0601AGA1N       20190101000160100000005000 0100000020000000   
0601AGA1N       20190101000165100000005000 0100000020000000   
0601AGA1N       20190101000170100000005000 0100000020000000   
0601AGA1N       20190101000175100000005000 0100000020000000   
0601AGA1N       20190101000180100000005000 0100000020000000   
0601AGA1N       20190101000185100000005000 0100000020000000   
0601AGA1N       20190101000190100000005000 0100000020000000   
0601AGA1N       20190101000195100000005000 0100000020000000   
0601AGA1N       20190101000200100000005000 0100000020000000   
0601AGA1N       20190101000205100000005000 0100000020000000   
0601AGA1N       20190101000210100000005000 0100000020000000   
0601AGA1N       20190101000215100000005000 0100000020000000   
0601AGA1N       20190101000220100000005000 0100000020000000   
0601AGA1N       20190101000225100000005000 0100000020000000   
0601AGA1N       20190101000230100000005000 0100000020000000   
0601AGA1N       20190101000235100000005000 0100000020000000   
0601AGA1N       20190101000240100000005000 0100000020000000   
0601AGA1N       20190101000245100000005000 0100000020000000   
0601AGA1N       20190101000250100000005000 0100000020000000   
0601AGA1N       20190101000255100000005000 0100000020000000   
0601AGA1N       20190101000260100000005000 0100000020000000   
0601AGA1N       20190101000265100000005000 0100000020000000   
0601AGA1N       20190101000270100000005000 0100000020000000   
0601AGA1N       20190101000275100000005000 0100000080000030   
0601AGA1N       20190101000280100000005000 0100000110000040   
0601AGA1N       20190101000285100000005000 0100000110000040   
0601AGA1N       20190101000290100000005000 0100000140000050   
0601AGA1N       20190101000295100000005000 0100000140000050   
0601AGA1N       20190101000300100000005000 0100000180000060   
0601AGA1N       20190101000305100000005000 0100000210000070   
0601AGA1N       20190101000310100000005000 0100000250000080   
0601AGA1N       20190101000315100000005000 0100000250000080   
0601AGA1N       20190101000320100000005000 0100000290000090   
0601AGA1N       20190101000325100000005000 0100000320000100   
0601AGA1N       20190101000330100000005000 0100000630000190   
0601AGA1N       20190101000335100000005000 0100000670000200   
0601AGA1N       20190101000340100000005000 0100000680000200   
0601AGA1N       20190101000345100000005000 0100000720000210   
0601AGA1N       20190101000350100000005000 0100000770000220   
0601AGA1N       20190101000355100000005000 0100000820000230   
0601AGA1N       20190101000360100000005000 0100000870000240   
0601AGA1N       20190101000365100000005000 0100000880000240   
0601AGA1N       20190101000370100000005000 0100000930000250   
0601AGA1N       20190101000375100000005000 0100000980000260   
0601AGA1N       20190101000380100000005000 0100001030000270   
0601AGA1N       20190101000385100000005000 0100001160000300   
0601AGA1N       20190101000390100000005000 0100001210000310   
0601AGA1N       20190101000395100000005000 0100001270000320   
0601AGA1N       20190101000400100000005000 0100001320000330   
0601AGA1N       20190101000405100000005000 0100001340000330   
0601AGA1N       20190101000410100000005000 0100001400000340   
0601AGA1N       20190101000415100000005000 0100001460000350   
0601AGA1N       20190101000420100000005000 0100001520000360   
0601AGA1N       20190101000425100000005000 0100001580000370   
0601AGA1N       20190101000430100000005000 0100001640000380   
0601AGA1N       20190101000435100000005000 0100001660000380   
0601AGA1N       20190101000440100000005000 0100001850000420   
0601AGA1N       20190101000445100000005000 0100001870000420   
0601AGA1N       20190101000450100000005000 0100001940000430   
0601AGA1N       20190101000455100000005000 0100002010000440   
0601AGA1N       20190101000460100000005000 0100002030000440   
0601AGA1N       20190101000465100000005000 0100002100000450   
0601AGA1N       20190101000470100000005000 0100002170000460   
0601AGA1N       20190101000475100000005000 0100002240000470   
0601AGA1N       20190101000480100000005000 0100002310000480   
0601AGA1N       20190101000485100000005000 0100002340000480   
0601AGA1N       20190101000490100000005000 0100002410000490   
0601AGA1N       20190101000495100000005000 0100002580000520   
0601AGA1N       20190101000500100000005000 0100002660000530   
0601AGA1N       20190101000505100000005000 0100002740000540   
0601AGA1N       20190101000510100000005000 0100002810000550   
0601AGA1N       20190101000515100000005000 0100002840000550   
0601AGA1N       20190101000520100000005000 0100002920000560   
0601AGA1N       20190101000525100000005000 0100002950000560   
0601AGA1N       20190101000530100000005000 0100003030000570   
0601AGA1N       20190101000535100000005000 0100003110000580   
0601AGA1N       20190101000540100000005000 0100003140000580   
0601AGA1N       20190101000545100000005000 0100003230000590   
0601AGA1N       20190101000550100000005000 0100003310000600   
0601AGA1N       20190101000555100000005000 0100003400000610   
0601AGA1N       20190101000560100000005000 0100003480000620   
0601AGA1N       20190101000565100000005000 0100003570000630   
0601AGA1N       20190101000570100000005000 0100003660000640   
0601AGA1N       20190101000575100000005000 0100003750000650   
0601AGA1N       20190101000580100000005000 0100003840000660   
0601AGA1N       20190101000585100000005000 0100003930000670   
0601AGA1N       20190101000590100000005000 0100004020000680   
0601AGA1N       20190101000595100000005000 0100004120000690   
0601AGA1N       20190101000600100000005000 0100004210000700   
0601AGA1N       20190101000605100000005000 0100004310000710   
0601AGA1N       20190101000610100000005000 0100004340000710   
0601AGA1N       20190101000615100000005000 0100004440000720   
0601AGA1N       20190101000620100000005000 0100004540000730   
0601AGA1N       20190101000625100000005000 0100004640000740   
0601AGA1N       20190101000630100000005000 0100004740000750   
0601AGA1N       20190101000635100000005000 0100004840000760   
0601AGA1N       20190101000640100000005000 0100004880000760   
0601AGA1N       20190101000645100000005000 0100004980000770   
0601AGA1N       20190101000650100000005000 0100005080000780   
0601AGA1N       20190101000655100000005000 0100005190000790   
0601AGA1N       20190101000660100000005000 0100005300000800   
0601AGA1N       20190101000665100000005000 0100005340000800   
0601AGA1N       20190101000670100000005000 0100005440000810   
0601AGA1N       20190101000675100000005000 0100005550000820   
0601AGA1N       20190101000680100000005000 0100005660000830   
0601AGA1N       20190101000685100000005000 0100005700000830   
0601AGA1N       20190101000690100000005000 0100005810000840   
0601AGA1N       20190101000695100000005000 0100005920000850   
0601AGA1N       20190101000700100000005000 0100006040000860   
0601AGA1N       20190101000705100000005000 0100006080000860   
0601AGA1N       20190101000710100000005000 0100006190000870   
0601AGA1N       20190101000715100000005000 0100006310000880   
0601AGA1N       20190101000720100000005000 0100006350000880   
0601AGA1N       20190101000725100000005000 0100006470000890   
0601AGA1N       20190101000730100000005000 0100006590000900   
0601AGA1N       20190101000735100000005000 0100006630000900   
0601AGA1N       20190101000740100000005000 0100006750000910   
0601AGA1N       20190101000745100000005000 0100006870000920   
0601AGA1N       20190101000750100000005000 0100006990000930   
0601AGA1N       20190101000755100000005000 0100007040000930   
0601AGA1N       20190101000760100000005000 0100007160000940   
0601AGA1N       20190101000765100000005000 0100007290000950   
0601AGA1N       20190101000770100000005000 0100007330000950   
0601AGA1N       20190101000775100000005000 0100007460000960   
0601AGA1N       20190101000780100000005000 0100007510000960   
0601AGA1N       20190101000785100000005000 0100007630000970   
0601AGA1N       20190101000790100000005000 0100007760000980   
0601AGA1N       20190101000795100000005000 0100007810000980   
0601AGA1N       20190101000800100000005000 0100007940000990   
0601AGA1N       20190101000805100000005000 0100007990000990   
0601AGA1N       20190101000810100000005000 0100008120001000   
0601AGA1N       20190101000815100000005000 0100008250001010   
0601AGA1N       20190101000820100000005000 0100008300001010   
0601AGA1N       20190101000825100000005000 0100008440001020   
0601AGA1N       20190101000830100000005000 0100008490001020   
0601AGA1N       20190101000835100000005000 0100008620001030   
0601AGA1N       20190101000840100000005000 0100008760001040   
0601AGA1N       20190101000845100000005000 0100008810001040   
0601AGA1N       20190101000850100000005000 0100008950001050   
0601AGA1N       20190101000855100000005000 0100009080001060   
0601AGA1N       20190101000860100000005000 0100009140001060   
0601AGA1N       20190101000865100000005000 0100009280001070   
0601AGA1N       20190101000870100000005000 0100009420001080   
0601AGA1N       20190101000875100000005000 0100009470001080   
0601AGA1N       20190101000880100000005000 0100009610001090   
0601AGA1N       20190101000885100000005000 0100009760001100   
0601AGA1N       20190101000890100000005000 0100009810001100   
0601AGA1N       20190101000895100000005000 0100009960001110   
0601AGA1N       20190101000900100000005000 0100010100001120   
0601AGA1N       20190101000905100000005000 0100010250001130   
0601AGA1N       20190101000910100000005000 0100010310001130   
0601AGA1N       20190101000915100000005000 0100010450001140   
0601AGA1N       20190101000920100000005000 0100010510001140   
0601AGA1N       20190101000925100000005000 0100010660001150   
0601AGA1N       20190101000930100000005000 0100010810001160   
0601AGA1N       20190101000935100000005000 0100010870001160   
0601AGA1N       20190101000940100000005000 0100011020001170   
0601AGA1N       20190101000945100000005000 0100011180001180   
0601AGA1N       20190101000950100000005000 0100011230001180   
0601AGA1N       20190101000955100000005000 0100011390001190   
0601AGA1N       20190101000960100000005000 0100011550001200   
0601AGA1N       20190101000965100000005000 0100011610001200   
0601AGA1N       20190101000970100000005000 0100011760001210   
0601AGA1N       20190101000975100000005000 0100011820001210   
0601AGA1N       20190101000980100000005000 0100011980001220   
0601AGA1N       20190101000985100000005000 0100012040001220   
0601AGA1N       20190101000990100000005000 0100012200001230   
0601AGA1N       20190101000995100000005000 0100012360001240   
0601AGA1N       20190101001000100000050000 0100000000001270   
0601AGA1N       20190101001050100000050000 0100000000001320   
0601AGA1N       20190101001100100000050000 0100000000001360   
0601AGA1N       20190101001150100000050000 0100000000001410   
0601AGA1N       20190101001200100000050000 0100000000001460   
0601AGA1N       20190101001250100000050000 0100000000001510   
0601AGA1N       20190101001300100000050000 0100000000001560   
0601AGA1N       20190101001350100000050000 0100000000001600   
0601AGA1N       20190101001400100000050000 0100000000001640   
